danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,target,genre
0.312,0.119,1,-17.218,1,0.0425,0.97,0.877,0.0735,0.389,80.637,audio_features,2pj7upod2G3og9YhQFIGWs,spotify:track:2pj7upod2G3og9YhQFIGWs,https://api.spotify.com/v1/tracks/2pj7upod2G3og9YhQFIGWs,https://api.spotify.com/v1/audio-analysis/2pj7upod2G3og9YhQFIGWs,195040,4,1,Classical
0.331,0.0848,5,-18.027,1,0.0362,0.905,0.832,0.247,0.128,105.945,audio_features,4HiqmoxqcXXFycUIno4oWn,spotify:track:4HiqmoxqcXXFycUIno4oWn,https://api.spotify.com/v1/tracks/4HiqmoxqcXXFycUIno4oWn,https://api.spotify.com/v1/audio-analysis/4HiqmoxqcXXFycUIno4oWn,199000,3,1,Classical
0.129,0.055,3,-21.376,1,0.0345,0.96,0.978,0.11,0.0357,146.701,audio_features,0Sz8MEpBsOYmTc06pqC5qD,spotify:track:0Sz8MEpBsOYmTc06pqC5qD,https://api.spotify.com/v1/tracks/0Sz8MEpBsOYmTc06pqC5qD,https://api.spotify.com/v1/audio-analysis/0Sz8MEpBsOYmTc06pqC5qD,156735,3,1,Classical
0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,audio_features,68poZGRClFTzLdeRz9X0M2,spotify:track:68poZGRClFTzLdeRz9X0M2,https://api.spotify.com/v1/tracks/68poZGRClFTzLdeRz9X0M2,https://api.spotify.com/v1/audio-analysis/68poZGRClFTzLdeRz9X0M2,114893,4,1,Hip-Hop
0.97,0.463,10,-7.259,1,0.366,0.0957,0.0,0.151,0.46,108.003,audio_features,5MPPttjfGap2C6j6eKcO6J,spotify:track:5MPPttjfGap2C6j6eKcO6J,https://api.spotify.com/v1/tracks/5MPPttjfGap2C6j6eKcO6J,https://api.spotify.com/v1/audio-analysis/5MPPttjfGap2C6j6eKcO6J,142417,4,1,Hip-Hop
0.653,0.77,9,-6.091,0,0.0353,0.00342,0.0,0.0887,0.272,137.616,audio_features,5dANgSy7v091dhiPnEXNrf,spotify:track:5dANgSy7v091dhiPnEXNrf,https://api.spotify.com/v1/tracks/5dANgSy7v091dhiPnEXNrf,https://api.spotify.com/v1/audio-analysis/5dANgSy7v091dhiPnEXNrf,321293,4,1,Hip-Hop
0.336,0.0709,7,-25.69,0,0.0494,0.992,0.858,0.0876,0.176,85.793,audio_features,3CXvekTGvlUimWpLUCJsVi,spotify:track:3CXvekTGvlUimWpLUCJsVi,https://api.spotify.com/v1/tracks/3CXvekTGvlUimWpLUCJsVi,https://api.spotify.com/v1/audio-analysis/3CXvekTGvlUimWpLUCJsVi,270800,4,1,Classical
0.951,0.573,0,-6.002,0,0.227,0.0667,0.0,0.119,0.42,105.052,audio_features,0Zl4G9qcdXV5hVhdOirNHG,spotify:track:0Zl4G9qcdXV5hVhdOirNHG,https://api.spotify.com/v1/tracks/0Zl4G9qcdXV5hVhdOirNHG,https://api.spotify.com/v1/audio-analysis/0Zl4G9qcdXV5hVhdOirNHG,211040,4,1,Hip-Hop
0.325,0.117,7,-21.347,1,0.039,0.955,0.759,0.12,0.353,150.441,audio_features,7sFW3OPIL5RR1ow8smo5GT,spotify:track:7sFW3OPIL5RR1ow8smo5GT,https://api.spotify.com/v1/tracks/7sFW3OPIL5RR1ow8smo5GT,https://api.spotify.com/v1/audio-analysis/7sFW3OPIL5RR1ow8smo5GT,353867,3,1,Classical
0.932,0.547,0,-7.787,0,0.333,0.0388,0.0,0.0924,0.695,94.998,audio_features,4sjiIpEv617LDXaidKioOI,spotify:track:4sjiIpEv617LDXaidKioOI,https://api.spotify.com/v1/tracks/4sjiIpEv617LDXaidKioOI,https://api.spotify.com/v1/audio-analysis/4sjiIpEv617LDXaidKioOI,176640,4,1,Hip-Hop
